epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.4621,1.57672,0.58285,0.96744,1.12442,5.9869e-05,5.9869e-05,0.0801035
2,32.0762,1.19155,0.6518,0.98107,0.94435,0.000117891,0.000117891,0.0601616
3,46.5844,1.06482,0.68345,0.98693,0.83584,0.000173933,0.000173933,0.0402176
4,60.2021,0.97003,0.68469,0.99155,0.82379,0.000227995,0.000227995,0.0202717
5,73.8662,0.92637,0.70564,0.98986,0.78097,0.000280078,0.000280078,0.000323746
6,87.4758,0.86115,0.70598,0.99178,0.76422,0.00027525,0.00027525,0.00027525
7,101.11,0.79824,0.71421,0.99166,0.76602,0.0002703,0.0002703,0.0002703
8,114.781,0.7575,0.71995,0.99302,0.75067,0.00026535,0.00026535,0.00026535
9,128.488,0.71334,0.73099,0.99133,0.73904,0.0002604,0.0002604,0.0002604
10,142.16,0.67259,0.72254,0.99088,0.76116,0.00025545,0.00025545,0.00025545
11,155.554,0.63446,0.72615,0.99313,0.77636,0.0002505,0.0002505,0.0002505
12,169.176,0.61055,0.72953,0.99189,0.78899,0.00024555,0.00024555,0.00024555
13,182.589,0.56535,0.72288,0.99189,0.7979,0.0002406,0.0002406,0.0002406
14,195.987,0.53369,0.73583,0.99268,0.78277,0.00023565,0.00023565,0.00023565
15,209.649,0.52254,0.7346,0.9938,0.78677,0.0002307,0.0002307,0.0002307
16,223.051,0.49599,0.71747,0.99155,0.8807,0.00022575,0.00022575,0.00022575
17,236.44,0.45803,0.7311,0.99245,0.83469,0.0002208,0.0002208,0.0002208
18,249.851,0.42156,0.73189,0.9929,0.85826,0.00021585,0.00021585,0.00021585
19,263.257,0.41391,0.73088,0.99088,0.90525,0.0002109,0.0002109,0.0002109
20,276.693,0.38714,0.73561,0.99223,0.8599,0.00020595,0.00020595,0.00020595
21,290.083,0.37331,0.73043,0.9911,0.91021,0.000201,0.000201,0.000201
22,303.701,0.35002,0.73989,0.99166,0.91909,0.00019605,0.00019605,0.00019605
23,317.429,0.32566,0.73234,0.99088,1.01174,0.0001911,0.0001911,0.0001911
24,330.856,0.31581,0.72896,0.99121,1.00297,0.00018615,0.00018615,0.00018615
25,344.294,0.30436,0.73178,0.99121,1.01932,0.0001812,0.0001812,0.0001812
26,357.727,0.29432,0.73054,0.99324,1.02826,0.00017625,0.00017625,0.00017625
27,371.162,0.28579,0.73043,0.9911,1.0384,0.0001713,0.0001713,0.0001713
28,384.633,0.2638,0.73403,0.99437,1.00853,0.00016635,0.00016635,0.00016635
29,398.056,0.24964,0.7409,0.99189,1.00973,0.0001614,0.0001614,0.0001614
30,411.802,0.24551,0.73662,0.99144,1.04187,0.00015645,0.00015645,0.00015645
31,425.225,0.23786,0.74135,0.99268,1.0285,0.0001515,0.0001515,0.0001515
32,439.108,0.23148,0.73606,0.99065,1.11355,0.00014655,0.00014655,0.00014655
33,452.398,0.22425,0.73583,0.99133,1.09378,0.0001416,0.0001416,0.0001416
34,465.658,0.21229,0.73381,0.99166,1.11928,0.00013665,0.00013665,0.00013665
35,478.932,0.20883,0.73944,0.99144,1.08666,0.0001317,0.0001317,0.0001317
36,492.194,0.2008,0.73899,0.99031,1.13242,0.00012675,0.00012675,0.00012675
37,505.472,0.18339,0.73381,0.9902,1.14613,0.0001218,0.0001218,0.0001218
38,518.756,0.18781,0.7346,0.99031,1.16934,0.00011685,0.00011685,0.00011685
39,532.026,0.18621,0.73831,0.99155,1.15807,0.0001119,0.0001119,0.0001119
40,545.283,0.17335,0.73775,0.99088,1.16956,0.00010695,0.00010695,0.00010695
41,558.571,0.17251,0.73696,0.98964,1.19152,0.000102,0.000102,0.000102
42,572.067,0.1558,0.73505,0.99042,1.19414,9.705e-05,9.705e-05,9.705e-05
43,585.442,0.16496,0.73482,0.98997,1.20911,9.21e-05,9.21e-05,9.21e-05
44,598.877,0.15411,0.73178,0.9902,1.21213,8.715e-05,8.715e-05,8.715e-05
45,612.23,0.15761,0.73313,0.99031,1.21106,8.22e-05,8.22e-05,8.22e-05
46,625.619,0.14025,0.73279,0.99121,1.22422,7.725e-05,7.725e-05,7.725e-05
47,639.027,0.13769,0.72975,0.9911,1.22909,7.23e-05,7.23e-05,7.23e-05
48,652.37,0.13873,0.73403,0.99166,1.23506,6.735e-05,6.735e-05,6.735e-05
49,665.752,0.12948,0.73347,0.99155,1.24461,6.24e-05,6.24e-05,6.24e-05
50,679.092,0.1283,0.73381,0.99133,1.24575,5.745e-05,5.745e-05,5.745e-05
51,693.013,0.12709,0.73493,0.99099,1.25339,5.25e-05,5.25e-05,5.25e-05
